Fecha,Hora,Clase de sitio,Arma empleada,Movil Agresor,Movil Victima,Sexo,Estado civil,Escolaridad,MARCA,
11/30/2018 , 06:30:00 PM,VIA PUBLICA,ARMA DE FUEGO,PASAJERO TAXI,A PIE,MASCULINO,SOLTERO,SUPERIOR,SONY,
11/30/2018 , 06:30:00 PM,CARRIL EXCLUSIVO TRANSPORTE MASIVO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 06:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,CON PAREJA,SUPERIOR,MOTOROLA,
11/30/2018 , 06:30:00 PM,TRANSPORTE PUBLICO,ARMA DE FUEGO,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 06:30:00 AM,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,PASAJERO TAXI,MASCULINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 06:30:00 AM,PARQUEADERO,SIN EMPLEO DE ARMAS,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,FEMENINO,CON PAREJA,SUPERIOR,APPLE,
11/30/2018 , 06:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,TECNICO,HUAWEI,
11/30/2018 , 06:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,MOTOROLA,
11/30/2018 , 06:30:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,CON PAREJA,TECNICO,LG,
11/30/2018 , 06:30:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,CON PAREJA,TECNOLOGO,SAMSUNG,
11/30/2018 , 06:00:00 PM,VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 06:00:00 PM,GOBERNACION,SIN EMPLEO DE ARMAS,A PIE,PASAJERO VEHICULO,FEMENINO,SOLTERO,SECUNDARIA,HUAWEI,
11/30/2018 , 06:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,CON PAREJA,SUPERIOR,HUAWEI,
11/30/2018 , 06:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,SECUNDARIA,LENOVO,
11/30/2018 , 06:00:00 AM,VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 06:00:00 AM,ESCALERAS FIJAS,ARMA DE FUEGO,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,APPLE,
11/30/2018 , 06:00:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 06:00:00 AM,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,VIUDO,TECNICO,HUAWEI,
11/30/2018 , 05:45:00 AM,TIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 05:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,CON PAREJA,SUPERIOR,MOTOROLA,
11/30/2018 , 05:30:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,FEMENINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 05:30:00 AM,TRANSPORTE PUBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,TECNOLOGO,HUAWEI,
11/30/2018 , 05:30:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,CON PAREJA,TECNICO,SAMSUNG,
11/30/2018 , 05:24:00 PM,APARTAMENTO,ARMA DE FUEGO,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 05:10:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,SECUNDARIA,SAMSUNG,
11/30/2018 , 05:10:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 05:00:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,A PIE,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 05:00:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,MASCULINO,CON PAREJA,TECNICO,SAMSUNG,
11/30/2018 , 05:00:00 PM,BAHIA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,SOLTERO,TECNICO,LG,
11/30/2018 , 05:00:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,TECNICO,SAMSUNG,
11/30/2018 , 05:00:00 PM,APARTAMENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 05:00:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,CON PAREJA,PRIMARIA,ALCATEL,
11/30/2018 , 05:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,SONY,
11/30/2018 , 05:00:00 AM,VIA PUBLICA,CONTUNDENTES,A PIE,A PIE,MASCULINO,CON PAREJA,TECNOLOGO,SAMSUNG,
11/30/2018 , 04:00:00 PM,PANADERIAS,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,MASCULINO,SOLTERO,SECUNDARIA,SAMSUNG,
11/30/2018 , 04:00:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 04:00:00 AM,VEHICULO TAXI,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,PASAJERO TAXI,FEMENINO,SOLTERO,SUPERIOR,SAMSUNG,
